Do you drink coffee daily?,How many coffee you drink daily (Starbucks Grande cup)?,Why do you drink coffee,Do you think coffee works for you?
YES,2,Study Stress,No
YES,2,Refreshing every morning,Yes
YES,3,Living habits,Maybe
NO,1,Living habits,No
NO,0,Study Stress,No
YES,3,Study Stress;Living habits;Refreshing every morning,Yes
YES,2,Study Stress;Living habits;Refreshing every morning,Maybe
YES,1,Study Stress,Yes
NO,0,Study Stress,No
YES,2,Study Stress;Living habits;Refreshing every morning,Yes
YES,1,Living habits,Maybe
NO,0,Study Stress,No
YES,1,Study Stress;Living habits;Refreshing every morning,Yes
YES,1,Living habits;Refreshing every morning,Maybe
YES,1,Study Stress;Living habits;Refreshing every morning,Maybe
NO,0,Study Stress,No
YES,2,Study Stress;Living habits;Refreshing every morning,Yes
NO,0,Study Stress,No
YES,4+,Study Stress,Yes
YES,2,Study Stress,Yes
YES,3,Study Stress;Living habits;Refreshing every morning,Yes
YES,1,Study Stress;Living habits;Refreshing every morning,Maybe
YES,2,Study Stress;Living habits;Refreshing every morning,Yes
YES,1,Study Stress,No
NO,0,Study Stress,Maybe
YES,3,Study Stress;Living habits;Refreshing every morning,Yes
YES,1,Study Stress,Maybe
YES,1,Refreshing every morning,Yes
YES,1,Living habits;Refreshing every morning,Yes
YES,2,Living habits,Maybe
NO,0,Study Stress,No
YES,1,Refreshing every morning,Yes
NO,0,Refreshing every morning,Yes
NO,1,Refreshing every morning,Yes
NO,0,Refreshing every morning,No
NO,0,Study Stress;Refreshing every morning,Maybe
NO,0,Living habits,Yes
NO,0,Living habits,No
YES,1,Living habits;Refreshing every morning,Yes
YES,3,Study Stress;Living habits;Refreshing every morning,Yes
NO,0,Refreshing every morning,No
NO,0,Study Stress,No
NO,2,Study Stress;Refreshing every morning,Maybe
NO,0,Study Stress,No
YES,1,Study Stress,Yes
YES,1,Refreshing every morning,Maybe
YES,2,Study Stress;Refreshing every morning,Yes
NO,0,Refreshing every morning,Maybe
YES,2,Study Stress;Living habits,Maybe
NO,0,Living habits,No
YES,1,Living habits,No
NO,0,Study Stress,No
NO,0,Study Stress,Maybe
NO,0,Study Stress,No
YES,1,Living habits;Refreshing every morning,Yes
NO,1,Refreshing every morning,Maybe
NO,0,Study Stress,Maybe
YES,1,Living habits,Maybe
NO,0,Study Stress,No
YES,2,Study Stress;Living habits;Refreshing every morning,Yes
NO,1,Living habits,No
NO,0,Study Stress,Maybe
NO,1,Study Stress;Refreshing every morning,Maybe
NO,0,Study Stress,No
NO,0,Study Stress,Maybe
YES,1,Living habits;Refreshing every morning,Yes
NO,0,Study Stress,Maybe
NO,0,Study Stress,Yes
YES,2,Study Stress;Living habits;Refreshing every morning,Yes
NO,0,Study Stress,Maybe
NO,0,Study Stress,Yes
NO,0,Refreshing every morning,No
NO,1,Study Stress,Yes
YES,2,Study Stress;Living habits;Refreshing every morning,Yes
NO,0,Study Stress;Refreshing every morning,Maybe
YES,4+,Study Stress;Living habits;Refreshing every morning,Yes
YES,2,Study Stress;Living habits;Refreshing every morning,Yes
YES,4+,Study Stress;Living habits;Refreshing every morning,Yes
YES,1,Study Stress,Maybe
YES,3,Study Stress;Living habits;Refreshing every morning,Yes
YES,0,Study Stress;Living habits;Refreshing every morning,No
YES,2,Study Stress;Refreshing every morning,Maybe
YES,3,Study Stress;Refreshing every morning,Yes
YES,1,Study Stress,No
YES,0,Living habits,No
YES,1,Living habits;Refreshing every morning,Yes
YES,1,Living habits,Yes
NO,0,Living habits,No
YES,1,Study Stress;Living habits;Refreshing every morning,Maybe
NO,0,Study Stress,No
YES,1,Refreshing every morning,Maybe
YES,1,Study Stress;Living habits,No
NO,0,Study Stress,Yes
NO,0,Study Stress,No